Frame,Timestamp,unity_x,unity_y,unity_z,X(accel),Y(accel),Z(accel),Angles,loadcell(N),,
114,1.88333,1.076631814,0.21,-0.954713145,1.536254119,-6.127152992,-1.350590717,41.32016977,0.162919118,,
115,1.9,1.082944727,0.21,-0.97462077,1.523252946,-6.074091106,-1.356609932,41.68827768,0.58320953,,
116,1.91667,1.072819698,0.214520434,-0.979597265,1.509178606,-6.024518577,-1.361868651,42.06279867,0.478136927,,
117,1.93333,1.060965956,0.219516264,-0.983003513,1.496627246,-5.978986802,-1.36443012,42.35449067,0.793354735,,
118,1.95,1.061007734,0.22,-0.989486188,1.477281824,-5.940567557,-1.366301988,42.76498564,0.548185329,,
119,1.96667,1.062324816,0.22,-0.996298683,1.463310923,-5.902788633,-1.369424984,43.10172926,-0.257371295,,
120,1.98333,1.062167943,0.215496247,-0.999835722,1.453328704,-5.857519064,-1.368681177,43.28190101,0.443112726,,
121,2,1.061850027,0.210500417,-1.003014886,1.439783172,-5.824135797,-1.365426955,43.4816467,-0.082250289,,
122,2.01667,1.070277731,0.21,-1.008577982,1.421529016,-5.791909435,-1.362851172,43.79273124,0.267991721,,
123,2.03333,1.079678975,0.21,-1.01440645,1.399291297,-5.756548042,-1.365901256,44.30818003,0.022822314,,
124,2.05,1.067052771,0.22794829,-1.008949251,1.383471897,-5.716314072,-1.37013357,44.72246428,-0.11727449,,
125,2.06667,1.051929032,0.24793161,-1.00221245,1.370910801,-5.682713401,-1.373688074,45.05797786,0.092870716,,
126,2.08333,1.078213208,0.254478732,-1.004636692,1.362724447,-5.654399843,-1.372945839,45.21407547,-0.327419697,,
127,2.1,1.109278186,0.259474562,-1.008118634,1.354666006,-5.628298984,-1.370411932,45.33106028,0.23296752,,
128,2.11667,1.104214269,0.246588824,-1.00387899,1.349082314,-5.601431738,-1.36791731,45.39718389,-0.082250289,,
129,2.13333,1.094903859,0.231601334,-0.998731771,1.347665066,-5.569167623,-1.366644752,45.40063157,0.092870716,,
130,2.15,1.094476988,0.238924103,-1.004739682,1.354368236,-5.542585363,-1.362454999,45.1705433,-0.012201887,,
131,2.16667,1.095112821,0.248915763,-1.012082038,1.357525232,-5.513544775,-1.358328727,45.01695116,-0.187322893,,
132,2.18333,1.095910607,0.254453711,-1.004916092,1.353227544,-5.486644634,-1.357156968,45.08306543,0.162919118,,
133,2.2,1.096728107,0.259449541,-0.995984153,1.345035267,-5.46183702,-1.356002697,45.23264539,-0.047226088,,
134,2.21667,1.098475093,0.255554629,-0.993450856,1.337525702,-5.442432443,-1.354295605,45.35694504,0.267991721,,
135,2.23333,1.100337175,0.250558799,-0.991709884,1.332355437,-5.422202452,-1.353179349,45.44426843,0.373064324,,
136,2.25,1.107201001,0.241125938,-0.980086436,1.328920099,-5.40226779,-1.349271376,45.43537582,0.373064324,,
137,2.26667,1.114694746,0.231134279,-0.967218389,1.325534549,-5.380980019,-1.346535106,45.4502946,0.127894917,,
138,2.28333,1.118806581,0.234428691,-0.961865696,1.315110237,-5.36597596,-1.345498773,45.65438369,0.057846515,,
139,2.3,1.122485329,0.23942452,-0.957475421,1.302128363,-5.356041922,-1.343378108,45.89330524,-0.152298691,,
140,2.31667,1.132955342,0.204637198,-0.966212248,1.292555372,-5.35053434,-1.341833194,46.07162703,0.23296752,,
141,2.33333,1.1443095,0.164670559,-0.976658074,1.288453934,-5.34563625,-1.338142729,46.08376695,0.303015922,,
142,2.35,1.134686557,0.2041201,-0.961434023,1.2849398,-5.337637457,-1.335041917,46.09553818,-0.047226088,,
143,2.36667,1.122287816,0.254078399,-0.942813203,1.276211871,-5.308768436,-1.331984172,46.2249963,0.23296752,,
144,2.38333,1.123740617,0.26440367,-0.936736169,1.26864959,-5.282381271,-1.32949922,46.34164361,0.162919118,,
145,2.4,1.127056032,0.2693995,-0.932345894,1.267419514,-5.270323961,-1.323359427,46.23693416,-0.082250289,,
146,2.41667,1.134646903,0.274395329,-0.937012662,1.271876895,-5.256889212,-1.315209575,45.95959202,0.197943319,,
